id,snapshot_date,total,source_url
8155,2016-08-31,623,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2016&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2016-08-31,896,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=08%2F31%2F2016&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2006-07-31,544,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2006&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2006-07-31,1054,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2006&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2006-07-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=07%2F31%2F2006&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2002-11-30,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2002-11-30,927,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2002-11-30,229,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2008-12-31,775,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2008&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2008-12-31,978,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2008&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2008-12-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2008&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2015-04-30,599,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2015&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2015-04-30,657,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2015&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2015-04-30,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2015&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2002-01-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=01%2F31%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2002-01-31,945,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=01%2F31%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2002-01-31,246,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=01%2F31%2F2002&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2022-04-30,521,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2022&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2022-04-30,24,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=04%2F30%2F2022&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2011-12-31,740,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2011&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2011-12-31,1256,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2011&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2011-12-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=12%2F31%2F2011&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2020-02-29,714,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F29%2F2020&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2020-02-29,242,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=02%2F29%2F2020&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2013-09-30,851,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=09%2F30%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2013-09-30,1062,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=09%2F30%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2013-09-30,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=09%2F30%2F2013&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2003-06-30,484,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2003&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2003-06-30,802,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2003&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2003-06-30,3,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=06%2F30%2F2003&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2007-10-31,1150,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2007-10-31,1265,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2007-10-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=10%2F31%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2014-03-31,802,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2014&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2014-03-31,934,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2014&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2014-03-31,1,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=03%2F31%2F2014&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2009-05-31,713,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2009&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2009-05-31,766,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2009&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2009-05-31,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=05%2F31%2F2009&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8155,2007-11-30,1124,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8156,2007-11-30,1280,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
8125,2007-11-30,2,https://www.stlouis-mo.gov/data/dashboards/inmates/by-day.cfm?date=11%2F30%2F2007&race=all&sex=all&employment=all&maritalStatus=all&topCharge=all
