id,snapshot_date,total,total_off_site,felony,misdemeanor,convicted_or_sentenced,detained_or_awaiting_trial,technical_parole_violators,source_url,source_url_2,federal_offense
9255,2020-02-01,41,7,6,2,0,26,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9256,2020-02-01,227,148,6,0,0,68,5,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,88
9257,2020-02-01,25,1,0,0,0,23,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9258,2020-02-01,1,0,0,0,0,2,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9259,2020-02-01,14,0,1,0,0,9,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9260,2020-02-01,13,6,1,0,0,5,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9266,2020-02-01,2,0,0,0,0,0,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9267,2020-02-01,90,37,0,0,0,44,5,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,9
9268,2020-02-01,140,15,2,1,0,113,9,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,14
9269,2020-02-01,427,2,25,4,13,326,40,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9273,2020-02-01,7,0,1,0,1,43,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9274,2020-02-01,4,0,0,0,0,1,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9275,2020-02-01,157,27,16,2,5,99,6,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,12
9276,2020-02-01,42,24,2,0,0,9,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9279,2020-02-01,375,21,18,5,14,226,55,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,17
9280,2020-02-01,186,5,11,2,4,150,12,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9281,2020-02-01,75,0,3,0,2,58,3,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9283,2020-02-01,78,0,2,4,2,59,11,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9284,2020-02-01,485,68,12,9,11,336,16,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,68
9285,2020-02-01,125,1,3,0,1,113,15,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9286,2020-02-01,33,14,3,0,0,12,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9287,2020-02-01,457,39,51,3,6,298,69,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,31
9288,2020-02-01,8,0,1,0,2,6,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9289,2020-02-01,49,0,2,0,2,17,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9290,2020-02-01,533,0,18,5,20,411,55,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9291,2020-02-01,128,61,2,0,1,47,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,59
9292,2020-02-01,85,45,4,5,0,30,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,36
9293,2020-02-01,177,0,10,7,3,118,35,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9294,2020-02-01,125,0,15,0,4,124,12,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9295,2020-02-01,27,14,1,0,0,9,2,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9296,2020-02-01,50,1,1,3,2,34,9,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9299,2020-02-01,39,17,0,0,1,16,5,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9302,2020-02-01,5350,120,488,9,141,3673,293,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,120
9306,2020-02-01,3822,11,445,76,74,2584,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,11
9309,2020-02-01,86,36,5,0,0,37,3,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9599,2020-02-01,1127,161,157,13,84,623,61,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,161
9890,2020-02-01,60,0,1,0,0,37,4,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,0
9893,2020-02-01,68,60,0,0,0,8,0,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/02/AbbreRptCurrent.pdf,60
10302,2020-03-01,25,5,3,0,1,15,1,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/03/AbbreRptCurrent.pdf,0
9054,2020-03-01,35,0,3,0,2,48,5,https://www.tcjs.state.tx.us/population-reports/,https://www.tcjs.state.tx.us/wp-content/uploads/2020/03/AbbreRptCurrent.pdf,0
