id,snapshot_date,detained_or_awaiting_trial,total,source_url,source_url_2
6867,2017-10-01,921,1394,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6866,2017-10-01,1098,1682,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6869,2017-10-01,235,417,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6870,2017-10-01,92,242,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6871,2017-10-01,28,56,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6877,2017-10-01,269,408,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6876,2017-10-01,697,1189,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6878,2017-10-01,681,1035,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6881,2017-10-01,47,68,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6883,2017-10-01,677,1255,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6884,2017-10-01,333,519,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6850,2017-10-01,806,1035,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6847,2017-10-01,1744,2047,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6851,2017-10-01,431,635,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6887,2017-10-01,255,397,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6885,2017-10-01,5,7,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6889,2017-10-01,272,811,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6890,2017-10-01,143,244,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6894,2017-10-01,725,862,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6896,2017-10-01,1024,1530,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6895,2017-10-01,439,582,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
9777,2017-10-01,1933,2996,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6905,2017-10-01,186,312,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
6906,2017-10-01,202,463,http://www.dc.state.fl.us/pub/jails/index.html,http://www.dc.state.fl.us/pub/jails/2017/jails-2017-09.pdf
